;Gin;Vodka;Dark Rum;Light Rum;Tequila;Vermouth;Whisky;Bourbon;Absinthe;Campari;Triple Sec;Blue Curacao;Angostura Bitters;Orange Juice;Pineapple Juice;Lime Juice;Syrup
Gin Martini;2;;;;;1;;;;;;;;;;;
Obituary;2;;;;;1/4;;;1/4;;;;;;;;
Negroni;1;;;;;1;;;;1;;;;;;;
Brown Gin;2;;;;;;;;;;;;15 dashes;;;;
Bahama Mama;;;1/2;1;;;;;;;;;;2;2;;
Blue Hawaiian;;;1;;;;;;;;;1/2;;;3;1;
Frozen Lime Daiquiri;;;;1 1/2;;;;;;;;;;;;3;1
Frozen Strawberry Daiquiri;;;;1 1/2;;;;;;;;;;;;1;1
Frozen Banana Daiquiri;;;;1 1/2;;;;;;;;;;;;1;1
Frozen Pineapple Daiquiri;;;;1 1/2;;;;;;;;;;;;1;1
Pina Colada;;;;1 1/2;;;;;;;;;;;2;;
Strawberry Colada;;;;1 1/2;;;;;;;;;;;2;;
Banana Colada;;;;1 1/2;;;;;;;;;;;2;;
Lime Margarita;;;;;1;;;;;;1/2;;;;;;
Strawberry Margarita;;;;;1;;;;;;1/2;;;;;2 1/2;1 1/2
Planters Punch;;;;1 1/2;;;;;;;;;;;4;;
Blue Lagoon;;;;1;;;;;;;;1/2;;;2;2;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;